107980 4 
315	4052	4054	16698
344	12943	5051	18268
292	5380	5368	12407
642	8359	8358	12481
1494	2130	2131	12676
669	4533	2866	6623
573	2898	2899	9850
1527	5651	1533	14286
130	756	2135	6633
52	6449	3864	11864
171	2137	6013	13857
1327	1655	3131	6637
1562	5670	10638	19322
758	5294	6642	12302
55	644	2147	6650
474	3065	2409	6651
759	6655	5409	12453
571	930	4022	6660
323	3860	1748	6661
327	3878	1628	6662
490	2161	500	13318
1767	6071	1773	6666
73	2165	390	6670
175	6624	3880	14938
2568	4151	4150	16831
101	3207	3350	8323
1841	2404	2405	13883
73	3006	390	10402
851	5365	4952	15803
886	4563	895	6678
732	1885	4284	17019
295	2063	2185	8402
87	2057	6505	13747
3468	9114	5796	14675
339	1897	6340	16531
1424	5465	3922	14984
186	1374	2079	8400
88	4565	4542	17439
181	2177	5442	12500
47	2179	1016	6697
563	7854	5943	11193
520	664	1818	6707
294	1375	3416	6708
262	1379	5392	6709
527	986	1381	6710
380	3295	5569	6711
63	2188	2187	6528
88	2194	2346	13903
341	10982	5511	18998
278	1787	7056	7062
1565	2199	2200	12833
418	4390	990	6716
831	8279	6119	20072
2208	3287	6215	13417
4002	5596	9337	19767
1732	3847	3851	14844
411	2952	3683	12842
1194	5062	3904	9539
66	6212	6210	6729
195	6090	1847	13336
84	2519	10752	10754
12	1948	1962	6732
591	4397	4402	6725
49	6086	6084	13350
78	4424	815	6734
793	4930	6737	11688
36	626	2229	6743
758	13949	2144	17574
2230	4645	13715	17576
125	2058	695	6506
224	3686	1283	6745
365	6079	2769	6281
595	9922	1949	17566
71	2462	2463	14309
75	5054	5056	6751
68	2236	6754	10628
319	1336	4823	6755
911	1533	5649	6763
100	2257	173	6771
2258	4409	10670	17229
142	2261	1661	6773
22	4256	6774	10385
3036	6034	10657	10661
122	3327	650	6775
1385	10483	12427	18825
1800	6147	6144	16515
37	6042	6044	6778
509	2165	6669	20123
641	1954	10510	19917
4271	4272	4596	17005
14	4314	6598	6606
107	2233	6746	8473
1401	5421	3888	14955
381	3859	2796	6566
338	1807	3909	6783
10	6345	4094	8730
111	2282	402	6787
63	2412	2032	6789
123	2279	6790	16892
50	3510	1060	6791
687	3937	6792	13653
819	14041	2285	17700
2284	4939	13750	17702
76	2287	580	6796
1138	2796	3859	6566
616	13021	2152	13023
56	2294	615	6801
817	6805	4584	11040
288	8339	5587	19139
3070	4938	4937	18085
2918	8412	3992	17189
201	904	3988	6812
357	813	3565	12582
77	6815	2304	10732
2289	13570	4808	17898
315	1963	1947	6820
2429	2430	2897	14944
28	4922	4921	14535
166	1413	2307	6823
1	6826	2308	16928
699	4233	4238	6516
44	2311	826	6503
96	5332	2510	6830
1361	4669	5337	18713
3709	3711	3710	16204
2060	12207	6306	12217
1836	6257	3936	20309
1794	2482	2483	14340
539	3965	3963	7789
110	6096	2319	11137
1562	2323	2322	14096
1614	6842	5789	12949
844	3801	2326	7009
443	4827	1314	6848
743	15658	3301	17342
784	13904	2196	17447
92	2339	184	6855
2345	5528	2392	12637
1466	4553	2346	12611
32	5573	9322	14151
725	2359	2360	14172
22	2376	6864	10869
653	1974	1973	13616
864	8777	2363	8789
1480	2330	2331	14101
8	2366	6873	16740
852	8791	2271	18117
91	2373	5585	12627
60	5529	5531	6878
420	10868	859	10874
467	2740	3820	6879
879	5533	19031	19034
89	4509	6439	14239
1139	2363	4085	8785
373	4549	4548	17456
3551	3915	5918	16392
872	4534	10924	17435
781	1474	5527	6887
93	5542	2386	8170
1465	3504	5511	12674
3502	5551	5549	19067
93	5551	5549	6912
2387	5584	2388	14210
857	3555	4082	9956
781	5584	1474	6920
3497	5565	5566	14144
92	184	2394	6919
731	3590	6559	17201
289	4663	969	6923
513	6196	11969	14236
379	3099	380	6925
262	2288	3432	6928
375	6712	3585	17476
1467	2329	1480	10570
474	2409	5941	6947
901	6515	2066	8019
2408	2778	4163	14894
475	3370	1716	6958
63	2032	2412	10259
601	1898	10168	17689
251	2415	645	6960
98	6779	2269	8102
387	6863	2360	14172
2122	2418	11788	18821
6043	6045	8322	19907
45	4272	3631	13362
48	2103	735	6568
3968	6023	6025	19866
651	3491	4152	6963
101	2428	4611	12738
925	3639	2867	11095
799	1891	6029	13966
1201	2431	2441	14266
1799	6151	6148	17123
704	5641	1528	6969
924	4417	925	6322
543	917	4607	7765
72	2441	390	6971
393	394	3634	6625
100	5659	2248	13982
58	3491	2560	6974
57	2125	6335	13844
925	2445	2446	14265
2444	2447	3623	16116
930	4025	932	6978
972	6212	2220	6982
568	14296	2018	17979
137	3154	3155	15303
1136	10681	5208	18498
935	4851	6989	11512
796	1280	5232	18525
123	1008	4731	6994
1352	5330	1354	6997
230	821	6944	18703
704	2075	2124	6975
208	1338	5302	7000
1649	5823	4865	19522
55	3339	1077	7002
835	4051	4464	17331
1186	6088	20007	20010
4463	6082	6080	19993
191	2467	302	7006
70	8312	2236	13954
500	599	1770	7007
1794	6836	2482	14340
33	8650	8653	8661
1545	2321	1783	7023
473	844	2328	6847
953	1783	2496	8912
2143	4459	2485	14343
736	741	6086	10437
1563	3268	2713	9480
405	11170	2493	16163
798	2485	5699	7022
108	2323	6838	14096
38	8943	3199	9218
405	960	3896	7026
86	4656	2500	11176
12	1962	1948	7028
219	1768	6057	7029
403	2322	404	7031
57	3094	6057	6502
1091	5152	3809	7032
